Subsystem: SS1

 , Inception , Elaboration , Construction , Transition , Total E&C , Total , , , Component: C1
Effort , 6.0 , 24.0 , 76.0 , 12.0 , 100.0 , 118.0 , 
Schedule , 12.5 , 37.5 , 62.5 , 12.5 , 100.0 , 125.0 , 
PM , 2.72 , 10.9 , 34.5 , 5.45 , 45.4 , 53.57 , 
M , 1.25 , 3.74 , 6.24 , 1.25 , 9.98 , 12.48 , 
PM/M , 2.18 , 2.91 , 5.53 , 4.37 , 

 , Inception , Elaboration , Construction , Transition , Total E&C , Total , , , Component: C2
Effort , 6.0 , 24.0 , 76.0 , 12.0 , 100.0 , 118.0 , 
Schedule , 12.5 , 37.5 , 62.5 , 12.5 , 100.0 , 125.0 , 
PM , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 
M , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 
PM/M , 0.0 , 0.0 , 0.0 , 0.0 , 



Subsystem: SS2

 , Inception , Elaboration , Construction , Transition , Total E&C , Total , , , Component: C3
Effort , 6.0 , 24.0 , 76.0 , 12.0 , 100.0 , 118.0 , 
Schedule , 12.5 , 37.5 , 62.5 , 12.5 , 100.0 , 125.0 , 
PM , 0.48 , 1.93 , 6.12 , 0.97 , 8.05 , 9.5 , 
M , 0.35 , 1.06 , 1.77 , 0.35 , 2.84 , 3.55 , 
PM/M , 1.36 , 1.82 , 3.45 , 2.72 , 



Subsystem: SS3



